claim_id,policy_id,customer_id,claim_type,incident_date,claim_amount,status,fraud_score,surveyor_id,premium_amount,policy_start_date,kyc_status
1,1905,7357,Property Damage,2025-11-04,45693.04,APPROVED,0,99,99285.76,2023-12-12,VERIFIED
2,11581,1684,Motor Accident,2025-06-13,28254.92,REJECTED,0,56,43737.57,2023-07-24,PENDING
3,17625,4659,Life Claim,2026-04-09,30137.13,PENDING,0,84,48449.63,2024-02-14,PENDING
4,19245,6146,Property Damage,2025-08-07,30724.6,APPROVED,0,89,51526.87,2024-11-05,PENDING
5,18021,1130,Life Claim,2025-10-16,17704.26,REJECTED,0,21,25360.08,2024-12-21,PENDING
6,17254,5867,Health Claim,2025-08-28,115256.17,REJECTED,0,25,74167.52,2024-12-22,PENDING
7,7947,5213,Life Claim,2026-01-11,96402.16,PENDING,0,74,78225.29,2024-07-03,PENDING
8,12122,9702,Property Damage,2026-02-03,32939.45,PENDING,0,61,97580.47,2025-12-15,VERIFIED
9,10668,81,Health Claim,2026-01-10,12264.86,REJECTED,0,14,6272.03,2024-01-11,PENDING
10,6036,9223,Health Claim,2025-06-14,6282.29,REJECTED,0,82,58549.33,2024-03-03,PENDING
11,15625,4189,Property Damage,2026-04-13,17062.74,PENDING,0,63,74936.97,2024-07-14,PENDING
12,19147,4692,Life Claim,2026-04-27,34960.81,PENDING,0,51,77987.35,2023-06-16,PENDING
13,4812,1026,Life Claim,2025-06-02,15476.68,REJECTED,0,64,58333.14,2023-12-24,VERIFIED
14,9185,5887,Motor Accident,2026-02-02,12230.25,APPROVED,0,60,75748.51,2023-06-08,VERIFIED
15,9938,3763,Motor Accident,2026-03-18,1963.68,REJECTED,0,41,7356.86,2025-06-23,PENDING
16,20325,4362,Health Claim,2025-11-14,121679.01,REJECTED,0,66,95828.68,2025-01-29,VERIFIED
17,16641,6626,Motor Accident,2025-10-19,37297.89,APPROVED,0,86,69181.55,2025-04-26,VERIFIED
18,8616,388,Health Claim,2025-12-22,37976.56,APPROVED,0,81,60835.19,2025-11-22,PENDING
19,8754,3895,Health Claim,2025-11-03,35446.37,APPROVED,0,5,88689.78,2025-04-19,PENDING
20,19946,8309,Life Claim,2025-09-25,11075.2,REJECTED,0,12,17145.64,2024-07-28,VERIFIED
21,11271,870,Health Claim,2025-11-14,11110.75,PENDING,0,64,6451.58,2026-05-21,VERIFIED
22,15908,7839,Motor Accident,2025-09-27,12819.06,APPROVED,0,42,29101.75,2023-07-19,VERIFIED
23,10554,2430,Health Claim,2025-09-19,15357.69,APPROVED,0,64,25023.02,2023-06-14,VERIFIED
24,3686,3784,Property Damage,2025-06-11,5266.97,REJECTED,0,9,10487.11,2025-02-13,PENDING
25,2886,7765,Property Damage,2026-04-23,10355.53,PENDING,0,89,22293.37,2023-11-19,VERIFIED
26,23529,8711,Life Claim,2025-06-07,11764.93,REJECTED,0,85,7861.4,2024-05-27,VERIFIED
27,12810,9369,Health Claim,2025-09-02,16290.14,PENDING,0,10,69494.37,2025-09-25,VERIFIED
28,24764,8296,Property Damage,2026-02-08,77375.57,REJECTED,0,6,44105.14,2024-07-26,VERIFIED
29,14283,7617,Motor Accident,2025-06-02,29131.96,REJECTED,0,62,78279.2,2025-02-20,PENDING
30,15413,4383,Motor Accident,2025-06-11,13354.18,APPROVED,0,4,30183.54,2025-03-30,PENDING
31,5298,6831,Motor Accident,2026-02-11,23202.7,REJECTED,0,78,40349.77,2025-10-22,PENDING
32,17098,9888,Life Claim,2025-08-12,3224.23,REJECTED,0,86,23844.16,2023-11-04,VERIFIED
33,18367,1597,Health Claim,2025-06-11,53487.89,APPROVED,0,23,43842.16,2023-07-08,VERIFIED
34,19779,4614,Life Claim,2025-10-18,27320.63,PENDING,0,12,24594.21,2026-02-23,PENDING
35,22083,4213,Health Claim,2026-01-21,5103.52,PENDING,0,66,11588.86,2024-07-23,PENDING
36,2237,2492,Property Damage,2026-05-12,5773.62,APPROVED,0,55,51211.84,2023-12-08,VERIFIED
37,9669,8277,Motor Accident,2026-01-08,22177.31,PENDING,0,47,80003.67,2025-01-16,PENDING
38,22018,8364,Property Damage,2025-09-16,57869.35,APPROVED,0,51,89776.12,2025-03-24,VERIFIED
39,18185,3228,Motor Accident,2025-07-09,11434.79,APPROVED,0,93,52599.91,2023-07-27,PENDING
40,16023,6935,Health Claim,2025-07-06,45897.98,PENDING,0,16,90759.19,2025-08-19,PENDING
41,15753,3612,Property Damage,2025-08-02,91075.19,APPROVED,0,34,85881.66,2025-11-02,VERIFIED
42,23270,2890,Property Damage,2025-07-16,11056.66,APPROVED,0,20,85107.31,2025-03-13,VERIFIED
43,12061,9492,Health Claim,2025-07-27,29706.92,PENDING,0,43,98669.48,2025-08-18,PENDING
44,8907,8480,Motor Accident,2025-08-04,25618.4,REJECTED,0,21,81632.67,2024-12-22,VERIFIED
45,9905,9673,Health Claim,2026-02-11,111308.61,PENDING,0,2,67413.07,2023-06-26,PENDING
46,17030,6639,Health Claim,2026-01-06,26484.01,REJECTED,0,49,69266.01,2024-04-30,VERIFIED
47,5365,7558,Motor Accident,2025-09-04,32989.99,REJECTED,0,45,79328.06,2024-08-21,PENDING
48,11442,8054,Motor Accident,2025-06-02,67784.14,REJECTED,0,76,97208.37,2025-04-19,VERIFIED
49,5800,6931,Motor Accident,2025-06-05,11036.58,APPROVED,0,11,32973.28,2025-04-14,VERIFIED
50,24947,732,Property Damage,2025-11-04,130609.37,REJECTED,0,36,95138.03,2025-10-28,VERIFIED
51,16580,1836,Property Damage,2026-04-30,30505.4,APPROVED,0,68,64372.28,2025-05-10,PENDING
52,22126,4656,Property Damage,2025-11-22,37169.87,REJECTED,0,13,69246.9,2024-09-29,VERIFIED
53,1512,6198,Motor Accident,2026-01-18,140586.4,PENDING,0,79,86922.25,2024-03-02,VERIFIED
54,1401,8808,Life Claim,2026-01-10,1251.61,PENDING,0,81,8270.39,2023-08-03,PENDING
55,7357,3616,Life Claim,2026-04-07,138459.72,APPROVED,0,77,93123.89,2025-05-10,VERIFIED
56,6457,5159,Motor Accident,2025-09-03,8583.23,APPROVED,0,15,16952.27,2023-06-06,VERIFIED
57,6657,1520,Motor Accident,2025-06-09,58871.47,PENDING,0,29,87335.82,2024-06-18,PENDING
58,2221,70,Life Claim,2026-03-06,3408.87,APPROVED,0,20,28529.82,2024-12-24,PENDING
59,24252,3953,Life Claim,2025-08-06,23156.1,PENDING,0,70,53732.07,2024-07-28,PENDING
60,17703,2546,Property Damage,2026-01-04,9961.94,REJECTED,0,63,49112.32,2025-01-21,PENDING
61,23684,9620,Property Damage,2025-08-05,4182.6,REJECTED,0,37,26317.99,2023-06-25,VERIFIED
62,18383,3085,Property Damage,2025-08-07,111562.28,PENDING,0,90,94058.75,2023-11-09,VERIFIED
63,21439,9807,Motor Accident,2026-02-14,145360.13,PENDING,0,76,91830.28,2024-07-09,VERIFIED
64,3144,6237,Life Claim,2025-05-25,1715.29,REJECTED,0,19,8402.57,2023-05-31,PENDING
65,23551,9734,Life Claim,2026-03-03,8798.0,APPROVED,0,47,62180.88,2024-10-17,VERIFIED
66,7909,9276,Motor Accident,2025-07-22,69805.78,REJECTED,0,86,57974.19,2026-01-07,VERIFIED
67,4562,6499,Health Claim,2026-01-07,44455.75,APPROVED,0,73,81678.85,2023-07-02,PENDING
68,21367,5228,Life Claim,2025-06-01,15712.68,APPROVED,0,31,73408.35,2024-01-03,VERIFIED
69,14391,9616,Health Claim,2025-10-24,85908.06,REJECTED,0,55,73359.53,2025-08-14,PENDING
70,22858,6172,Property Damage,2025-11-26,47914.66,APPROVED,0,28,83821.13,2024-02-06,PENDING
71,22231,1955,Property Damage,2025-05-31,17072.99,REJECTED,0,28,13968.78,2023-09-21,VERIFIED
72,8579,4401,Life Claim,2025-07-03,4194.2,APPROVED,0,63,6622.13,2026-01-24,PENDING
73,24778,2989,Motor Accident,2025-06-07,57282.64,APPROVED,0,44,32278.85,2024-03-21,PENDING
74,2488,2880,Property Damage,2025-09-04,15427.85,REJECTED,0,5,44128.18,2025-10-20,PENDING
75,695,4370,Health Claim,2025-10-23,53838.36,APPROVED,0,28,82396.68,2024-10-13,PENDING
76,2950,5035,Health Claim,2026-02-02,80033.32,PENDING,0,62,61028.31,2024-08-09,VERIFIED
77,22458,2363,Property Damage,2025-06-22,15750.98,PENDING,0,24,68408.45,2025-09-10,VERIFIED
78,9786,8108,Life Claim,2026-03-06,11675.37,PENDING,0,98,32108.12,2025-06-24,VERIFIED
79,17759,2593,Life Claim,2025-07-15,60463.68,PENDING,0,29,54041.42,2025-12-16,PENDING
80,18336,7037,Health Claim,2026-04-17,62200.63,PENDING,0,23,33543.16,2025-11-19,PENDING
81,11784,4923,Health Claim,2025-09-09,22699.3,APPROVED,0,74,68616.68,2025-07-02,VERIFIED
82,15170,4554,Motor Accident,2026-04-23,63926.01,PENDING,0,60,54320.32,2023-05-26,VERIFIED
83,23331,5833,Motor Accident,2025-09-28,11043.59,APPROVED,0,94,39346.43,2025-02-04,PENDING
84,18763,8897,Health Claim,2026-02-16,103780.61,REJECTED,0,85,75159.46,2026-01-30,PENDING
85,11912,9119,Life Claim,2025-12-11,136648.04,APPROVED,0,85,91480.99,2024-09-14,VERIFIED
86,5136,450,Motor Accident,2025-11-07,143116.09,REJECTED,0,27,78723.04,2026-05-11,VERIFIED
87,3381,1159,Property Damage,2025-11-09,19355.34,REJECTED,0,49,96573.15,2025-11-28,PENDING
88,3415,5171,Property Damage,2026-03-24,24755.51,APPROVED,0,98,78158.69,2024-07-29,PENDING
89,22875,1027,Life Claim,2025-06-06,3153.98,APPROVED,0,5,5579.88,2024-07-08,PENDING
90,9249,1191,Life Claim,2026-04-29,126602.72,REJECTED,0,2,66966.24,2026-05-22,PENDING
91,13878,7690,Life Claim,2025-12-26,76876.87,PENDING,0,48,44154.6,2024-09-22,VERIFIED
92,12948,6574,Health Claim,2025-12-05,28295.96,REJECTED,0,90,61534.3,2025-11-15,VERIFIED
93,12232,4433,Health Claim,2026-05-19,45949.06,REJECTED,0,33,93632.49,2023-12-13,VERIFIED
94,6377,6886,Motor Accident,2025-10-11,18809.53,PENDING,0,17,76431.66,2025-06-19,VERIFIED
