claim_amount,premium_amount,policy_age,repeat_claims,fraud_flag
45693.04,99285.76,642,0,0
28254.92,43737.57,537,2,0
30137.13,48449.63,132,0,0
30724.6,51526.87,733,0,0
17704.26,25360.08,908,2,0
115256.17,74167.52,6,4,1
96402.16,78225.29,7,3,1
32939.45,97580.47,702,0,0
12264.86,6272.03,3,6,1
6282.29,58549.33,61,0,0
17062.74,74936.97,60,1,0
34960.81,77987.35,93,2,0
15476.68,58333.14,633,2,0
12230.25,75748.51,387,1,0
1963.68,7356.86,824,2,0
121679.01,95828.68,8,5,1
37297.89,69181.55,147,1,0
37976.56,60835.19,390,1,0
35446.37,88689.78,409,0,0
11075.2,17145.64,52,2,0
11110.75,6451.58,4,6,1
12819.06,29101.75,838,2,0
15357.69,25023.02,874,0,0
5266.97,10487.11,309,1,0
10355.53,22293.37,312,0,0
11764.93,7861.4,9,6,1
16290.14,69494.37,509,0,0
77375.57,44105.14,10,3,1
29131.96,78279.2,611,1,0
13354.18,30183.54,889,1,0
23202.7,40349.77,579,0,0
3224.23,23844.16,501,0,0
53487.89,43842.16,4,4,1
27320.63,24594.21,1,4,1
5103.52,11588.86,59,2,0
5773.62,51211.84,632,1,0
22177.31,80003.67,301,1,0
57869.35,89776.12,490,0,0
11434.79,52599.91,284,1,0
45897.98,90759.19,189,2,0
91075.19,85881.66,6,3,1
11056.66,85107.31,399,0,0
29706.92,98669.48,876,2,0
25618.4,81632.67,481,0,0
111308.61,67413.07,5,3,1
26484.01,69266.01,464,0,0
32989.99,79328.06,141,0,0
67784.14,97208.37,892,0,0
11036.58,32973.28,956,0,0
130609.37,95138.03,1,5,1
30505.4,64372.28,794,0,0
37169.87,69246.9,675,1,0
140586.4,86922.25,9,4,1
1251.61,8270.39,801,2,0
138459.72,93123.89,8,6,1
8583.23,16952.27,728,2,0
58871.47,87335.82,977,2,0
3408.87,28529.82,790,2,0
23156.1,53732.07,868,0,0
9961.94,49112.32,282,0,0
4182.6,26317.99,571,1,0
111562.28,94058.75,10,5,1
145360.13,91830.28,9,5,1
1715.29,8402.57,719,0,0
8798.0,62180.88,304,0,0
69805.78,57974.19,7,3,1
44455.75,81678.85,180,2,0
15712.68,73408.35,354,0,0
85908.06,73359.53,10,5,1
47914.66,83821.13,887,0,0
17072.99,13968.78,10,6,1
4194.2,6622.13,754,2,0
57282.64,32278.85,8,6,1
15427.85,44128.18,655,0,0
53838.36,82396.68,959,1,0
80033.32,61028.31,2,5,1
15750.98,68408.45,446,0,0
11675.37,32108.12,539,0,0
60463.68,54041.42,6,4,1
62200.63,33543.16,9,4,1
22699.3,68616.68,679,2,0
63926.01,54320.32,9,6,1
11043.59,39346.43,137,0,0
103780.61,75159.46,7,6,1
136648.04,91480.99,10,5,1
143116.09,78723.04,2,3,1
19355.34,96573.15,867,2,0
24755.51,78158.69,828,1,0
3153.98,5579.88,50,1,0
126602.72,66966.24,9,5,1
76876.87,44154.6,5,6,1
28295.96,61534.3,447,2,0
45949.06,93632.49,481,0,0
18809.53,76431.66,192,2,0
35827.26,33014.55,9,6,1
24899.22,38754.2,477,2,0
22276.33,39050.21,804,2,0
10577.84,24944.32,687,1,0
19873.47,10687.43,2,6,1
36249.87,68646.0,450,0,0
90704.5,67132.45,6,3,1
135982.63,81990.97,4,4,1
6818.69,49981.68,736,2,0
63614.04,44217.11,5,3,1
8297.91,24729.67,337,1,0
39843.64,64039.09,340,0,0
25652.6,39469.13,361,1,0
31746.51,27836.89,1,6,1
12639.13,10030.37,6,5,1
27021.11,61807.1,833,1,0
33864.64,56504.98,86,2,0
19266.92,73896.56,938,0,0
30794.92,16916.36,7,4,1
17010.97,79550.38,109,0,0
1934.86,10081.99,256,1,0
7551.04,53897.64,67,1,0
24312.62,85252.18,112,2,0
109976.18,67158.22,7,3,1
44600.37,74494.0,668,2,0
9444.84,74174.29,394,1,0
72880.72,53289.03,1,5,1
41996.66,74108.18,554,1,0
23396.24,15450.13,6,3,1
43361.48,82011.42,854,1,0
51463.73,48180.52,10,4,1
18207.02,37574.9,446,0,0
27022.01,42964.83,711,2,0
14281.05,52642.43,250,0,0
28714.88,74271.14,989,2,0
7063.6,64852.85,724,2,0
33022.75,86604.77,777,1,0
83366.6,46085.81,7,4,1
27332.63,56742.3,271,1,0
41369.78,87184.99,501,0,0
20824.28,54499.98,994,1,0
96609.85,82760.55,8,3,1
2129.5,9820.58,213,0,0
26087.51,45767.7,851,2,0
19698.24,69248.12,622,2,0
4443.09,9077.5,589,1,0
15694.63,99940.06,557,2,0
32442.6,82511.87,88,0,0
16327.21,83513.28,890,2,0
24912.74,53606.43,649,0,0
38098.76,69410.5,800,0,0
57910.36,89928.16,746,2,0
1084.37,7904.09,668,2,0
28355.39,52123.19,268,1,0
51104.19,84989.78,582,2,0
14436.92,30256.36,790,2,0
10958.11,76249.61,52,2,0
29268.92,95119.64,946,1,0
5107.72,40600.79,293,1,0
34322.17,65503.65,288,0,0
109944.26,94138.24,10,5,1
7259.24,25819.39,906,0,0
2420.57,11023.32,90,2,0
51303.5,81092.74,344,0,0
90323.11,64103.3,1,6,1
50809.63,87579.04,57,2,0
43433.7,84494.93,464,2,0
5350.28,11666.58,948,2,0
92704.7,84956.33,3,6,1
3816.98,11742.63,664,2,0
155017.13,79995.05,8,5,1
22906.09,49047.63,764,1,0
41316.61,60720.11,727,1,0
25213.73,21126.63,2,3,1
12024.66,23220.45,993,0,0
33991.18,28162.78,4,3,1
26889.91,82311.58,261,1,0
8873.84,56836.48,628,2,0
23164.48,52855.31,221,1,0
22978.51,12990.96,10,4,1
29990.9,52584.89,880,2,0
4942.44,13618.61,121,2,0
40753.64,36083.48,3,3,1
149721.48,90223.91,10,6,1
2482.01,9494.78,764,0,0
37012.24,77584.54,972,2,0
17133.48,40039.94,753,0,0
42774.57,96032.9,443,0,0
4690.61,10277.7,199,0,0
104308.13,66280.12,4,4,1
51815.45,79003.07,550,0,0
54788.89,86738.07,657,1,0
38823.5,96873.31,455,1,0
103027.85,59373.19,7,4,1
112320.44,76692.11,5,3,1
13717.98,21799.27,781,0,0
11009.52,93516.73,248,2,0
83390.09,54788.13,8,5,1
29631.25,63777.05,47,0,0
3810.11,8996.36,121,0,0
34500.65,64067.41,151,2,0
15899.65,22754.63,109,1,0
34043.55,57731.69,536,2,0
13967.78,62469.66,69,1,0
15454.19,38561.3,301,0,0
13651.33,20522.53,934,0,0
40225.99,94908.05,877,0,0
28658.67,66835.78,684,1,0
10800.3,15519.74,807,1,0
9245.97,25604.09,105,1,0
12921.7,25686.55,790,2,0
6048.34,27333.66,603,2,0
4912.49,8305.02,496,2,0
17598.79,48371.71,636,2,0
15441.17,62716.97,672,0,0
51391.26,80451.88,550,0,0
4474.55,19921.75,190,0,0
29347.21,22787.95,5,4,1
158087.98,81216.4,5,3,1
13756.35,47990.8,242,2,0
116350.03,72613.07,7,4,1
44022.56,35141.65,1,4,1
11631.07,99007.19,691,0,0
89681.09,55289.24,5,6,1
8544.43,40162.73,185,1,0
47815.09,25482.25,2,3,1
24120.57,45462.35,105,2,0
10458.19,19873.59,141,2,0
15365.72,34926.69,521,2,0
42819.86,25332.81,6,5,1
82912.65,80005.94,9,4,1
15629.94,24754.73,941,1,0
105859.65,92786.84,10,6,1
24024.45,48584.79,757,1,0
4015.39,18223.57,395,2,0
7598.1,70797.68,526,2,0
95397.82,85143.0,4,3,1
7411.8,7085.35,3,4,1
12002.91,71732.38,620,0,0
154898.4,81465.28,9,5,1
4851.23,8266.6,506,0,0
34367.03,19936.0,6,4,1
41382.18,25844.08,10,3,1
33653.86,71959.36,294,0,0
78512.45,71523.79,4,6,1
6914.52,11508.62,252,1,0
34709.43,70102.71,733,1,0
5087.88,9884.27,877,1,0
13357.3,55001.18,311,2,0
14013.65,86734.72,215,2,0
7230.2,18514.13,197,1,0
23580.64,84676.68,673,2,0
2580.17,22855.85,298,1,0
6013.21,11362.03,883,0,0
9185.48,17797.17,230,0,0
23297.6,23209.31,4,4,1
34697.62,65990.5,604,2,0
32778.48,31910.82,10,5,1
39144.38,28269.69,4,6,1
6081.9,60179.63,68,1,0
